"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Bisbaumannia_pacifica_CARE-V15","Bisbaumannia_pacifica_M31","Bisbaumannia_pacifica_NBRC_102220","Halomonas_salifodinae_A2","Halomonas_salifodinae_IM328","Halomonas_salifodinae_JCM_14803"
"group_875","","hypothetical protein","5","5","1","1","2562","201","5","","173","173","173","Bisbaumannia_03496","ac2c10d1bfd924169bd1a7f9d07d0dbc_3313","GCA_007989625.1_ASM798962v1_genomic_00235","A2_03235","Halomonas_salifodinae_01890",""
"recC","","RecBCD enzyme subunit RecC","5","5","1","1","978","5","117","","3635","3662","3642","Bisbaumannia_02134","ac2c10d1bfd924169bd1a7f9d07d0dbc_1549","GCA_007989625.1_ASM798962v1_genomic_00099","","Halomonas_salifodinae_00618","9e3420b4b005a41cf6998e0a1df74e45_1181"
"group_899","","putative protein","5","5","1","1","2134","43","41","","1355","1358","1355","Bisbaumannia_02023","ac2c10d1bfd924169bd1a7f9d07d0dbc_1073","GCA_007989625.1_ASM798962v1_genomic_00151","A2_03056","Halomonas_salifodinae_02016",""
"trkA","","Trk system potassium uptake protein TrkA","5","5","1","1","1353","27","36","","1373","1373","1373","Bisbaumannia_01691","ac2c10d1bfd924169bd1a7f9d07d0dbc_287","GCA_007989625.1_ASM798962v1_genomic_00969","A2_02064","Halomonas_salifodinae_00502",""
"folX","","Dihydroneopterin triphosphate 2'-epimerase","5","5","1","1","3499","280","3","","410","416","413","Bisbaumannia_00076","ac2c10d1bfd924169bd1a7f9d07d0dbc_2448","GCA_007989625.1_ASM798962v1_genomic_01733","A2_00546","Halomonas_salifodinae_01530",""
"metQ","","D-methionine-binding lipoprotein MetQ","4","4","1","1","3765","109","8","","821","821","821","Bisbaumannia_00147","ac2c10d1bfd924169bd1a7f9d07d0dbc_2376","GCA_007989625.1_ASM798962v1_genomic_03364","","","9e3420b4b005a41cf6998e0a1df74e45_1869"
"metI","","D-methionine transport system permease protein MetI","4","4","1","1","3767","109","5","","653","653","653","Bisbaumannia_00148","ac2c10d1bfd924169bd1a7f9d07d0dbc_2375","GCA_007989625.1_ASM798962v1_genomic_03363","","","9e3420b4b005a41cf6998e0a1df74e45_1870"
"moaE","","Molybdopterin synthase catalytic subunit","4","4","1","1","3784","45","20","","455","455","455","Bisbaumannia_00162","ac2c10d1bfd924169bd1a7f9d07d0dbc_2361","GCA_007989625.1_ASM798962v1_genomic_00428","","","9e3420b4b005a41cf6998e0a1df74e45_1884"
"group_1007","","hypothetical protein","4","4","1","1","3786","45","11","","284","287","286","Bisbaumannia_00164","ac2c10d1bfd924169bd1a7f9d07d0dbc_2359","GCA_007989625.1_ASM798962v1_genomic_00426","","","9e3420b4b005a41cf6998e0a1df74e45_1886"
"purU_1","","Formyltetrahydrofolate deformylase","4","4","1","1","3789","45","8","","854","854","854","Bisbaumannia_00166","ac2c10d1bfd924169bd1a7f9d07d0dbc_2357","GCA_007989625.1_ASM798962v1_genomic_00424","","","9e3420b4b005a41cf6998e0a1df74e45_1888"
"fadD3","","3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase","4","4","1","1","3801","190","4","","1685","1685","1685","Bisbaumannia_00176","ac2c10d1bfd924169bd1a7f9d07d0dbc_2347","GCA_007989625.1_ASM798962v1_genomic_00414","","","9e3420b4b005a41cf6998e0a1df74e45_1898"
"group_1011","","hypothetical protein","4","4","1","1","3413","190","3","","455","455","455","Bisbaumannia_00177","ac2c10d1bfd924169bd1a7f9d07d0dbc_2346","GCA_007989625.1_ASM798962v1_genomic_00413","","","9e3420b4b005a41cf6998e0a1df74e45_1899"
"group_1012","","hypothetical protein","4","4","1","1","3814","38","13","","965","965","965","Bisbaumannia_00183","ac2c10d1bfd924169bd1a7f9d07d0dbc_2340","GCA_007989625.1_ASM798962v1_genomic_00407","","","9e3420b4b005a41cf6998e0a1df74e45_1905"
"fyuA","","Pesticin receptor","4","4","1","1","3815","38","31","","1892","1892","1892","Bisbaumannia_00184","ac2c10d1bfd924169bd1a7f9d07d0dbc_2339","GCA_007989625.1_ASM798962v1_genomic_00406","","","9e3420b4b005a41cf6998e0a1df74e45_1906"
"oxyT","","N,N-dimethyltransferase OxyT","4","4","1","1","3406","38","30","","1040","1040","1040","Bisbaumannia_00185","ac2c10d1bfd924169bd1a7f9d07d0dbc_2338","GCA_007989625.1_ASM798962v1_genomic_00405","A2_00657","",""
"group_1032","","hypothetical protein","4","4","1","1","403","2","244","","212","422","369","Bisbaumannia_00300","ac2c10d1bfd924169bd1a7f9d07d0dbc_2475","GCA_007989625.1_ASM798962v1_genomic_03512","","","9e3420b4b005a41cf6998e0a1df74e45_1525"
"dsrE","","Putative sulfurtransferase DsrE","4","4","1","1","3282","105","6","","392","392","392","Bisbaumannia_00362","ac2c10d1bfd924169bd1a7f9d07d0dbc_3461","GCA_007989625.1_ASM798962v1_genomic_00859","","","9e3420b4b005a41cf6998e0a1df74e45_2008"
"group_1045","","hypothetical protein","4","4","1","1","3277","491","1","","1052","1052","1052","Bisbaumannia_00370","ac2c10d1bfd924169bd1a7f9d07d0dbc_3453","GCA_007989625.1_ASM798962v1_genomic_00867","","","9e3420b4b005a41cf6998e0a1df74e45_2016"
"btuD_1","","hypothetical protein","4","4","1","1","2405","73","16","","1085","1085","1085","Bisbaumannia_00417","ac2c10d1bfd924169bd1a7f9d07d0dbc_3404","GCA_007989625.1_ASM798962v1_genomic_00915","","","9e3420b4b005a41cf6998e0a1df74e45_2060"
"group_1064","","hypothetical protein","4","4","1","1","5457","181","2","","1016","1016","1016","Bisbaumannia_00447","ac2c10d1bfd924169bd1a7f9d07d0dbc_3261","GCA_007989625.1_ASM798962v1_genomic_02155","","","9e3420b4b005a41cf6998e0a1df74e45_576"
"group_1069","","hypothetical protein","4","4","1","1","6141","423","1","","1577","1577","1577","Bisbaumannia_00479","ac2c10d1bfd924169bd1a7f9d07d0dbc_3229","GCA_007989625.1_ASM798962v1_genomic_02187","","","9e3420b4b005a41cf6998e0a1df74e45_405"
"thiD_1","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","4","4","1","1","6145","279","3","","833","833","833","Bisbaumannia_00482","ac2c10d1bfd924169bd1a7f9d07d0dbc_3226","GCA_007989625.1_ASM798962v1_genomic_02190","","","9e3420b4b005a41cf6998e0a1df74e45_402"
"glnH","","Glutamine-binding periplasmic protein","4","4","1","1","5345","591","1","","767","770","769","Bisbaumannia_00487","ac2c10d1bfd924169bd1a7f9d07d0dbc_3221","GCA_007989625.1_ASM798962v1_genomic_03585","","","9e3420b4b005a41cf6998e0a1df74e45_397"
"pstB_1","","Phosphate import ATP-binding protein PstB","4","4","1","1","6194","151","4","","821","833","830","Bisbaumannia_00519","ac2c10d1bfd924169bd1a7f9d07d0dbc_3189","GCA_007989625.1_ASM798962v1_genomic_01490","","","9e3420b4b005a41cf6998e0a1df74e45_365"
"sasA_3","","hypothetical protein","4","4","1","1","6234","278","2","","1724","1730","1728","Bisbaumannia_00542","ac2c10d1bfd924169bd1a7f9d07d0dbc_3166","GCA_007989625.1_ASM798962v1_genomic_01513","","","9e3420b4b005a41cf6998e0a1df74e45_335"
"group_1097","qseB_2","Transcriptional regulatory protein QseB","4","4","1","1","6338","48","26","","680","680","680","Bisbaumannia_00586","ac2c10d1bfd924169bd1a7f9d07d0dbc_3122","GCA_007989625.1_ASM798962v1_genomic_03529","","","9e3420b4b005a41cf6998e0a1df74e45_283"
"mntB_2","","Manganese transport system membrane protein MntB","4","4","1","1","6356","28","31","","884","884","884","Bisbaumannia_00594","ac2c10d1bfd924169bd1a7f9d07d0dbc_3115","GCA_007989625.1_ASM798962v1_genomic_02038","","","9e3420b4b005a41cf6998e0a1df74e45_273"
"cbbZC","","Phosphoglycolate phosphatase, chromosomal","4","4","1","1","7417","273","3","","650","650","650","Bisbaumannia_00618","ac2c10d1bfd924169bd1a7f9d07d0dbc_2855","GCA_007989625.1_ASM798962v1_genomic_03142","","","9e3420b4b005a41cf6998e0a1df74e45_2862"
"group_1124","","hypothetical protein","4","4","1","1","7616","46","1","","464","464","464","Bisbaumannia_00689","ac2c10d1bfd924169bd1a7f9d07d0dbc_2732","GCA_007989625.1_ASM798962v1_genomic_01678","","","9e3420b4b005a41cf6998e0a1df74e45_2903"
"arsR1","","Arsenic resistance transcriptional regulator ArsR1","4","4","1","1","7676","21","39","","344","344","344","Bisbaumannia_00703","ac2c10d1bfd924169bd1a7f9d07d0dbc_2718","GCA_007989625.1_ASM798962v1_genomic_03329","","","9e3420b4b005a41cf6998e0a1df74e45_2917"
"group_1128","","hypothetical protein","4","4","1","1","7677","21","35","","1238","1238","1238","Bisbaumannia_00704","ac2c10d1bfd924169bd1a7f9d07d0dbc_2717","GCA_007989625.1_ASM798962v1_genomic_03328","","","9e3420b4b005a41cf6998e0a1df74e45_2918"
"gap3","","Glyceraldehyde-3-phosphate dehydrogenase 3","4","4","1","1","7678","21","34","","1016","1016","1016","Bisbaumannia_00705","ac2c10d1bfd924169bd1a7f9d07d0dbc_2716","GCA_007989625.1_ASM798962v1_genomic_03327","","","9e3420b4b005a41cf6998e0a1df74e45_2919"
"group_1130","","hypothetical protein","4","4","1","1","7682","21","30","","1166","1166","1166","Bisbaumannia_00708","ac2c10d1bfd924169bd1a7f9d07d0dbc_2713","GCA_007989625.1_ASM798962v1_genomic_03324","","","9e3420b4b005a41cf6998e0a1df74e45_2923"
"sphX","","Protein SphX","4","4","1","1","7685","21","28","","1025","1025","1025","Bisbaumannia_00710","ac2c10d1bfd924169bd1a7f9d07d0dbc_2711","GCA_007989625.1_ASM798962v1_genomic_03322","","","9e3420b4b005a41cf6998e0a1df74e45_2925"
"ybaB","","Nucleoid-associated protein YbaB","4","4","1","1","7712","203","1","","323","326","323","Bisbaumannia_00728","ac2c10d1bfd924169bd1a7f9d07d0dbc_2693","GCA_007989625.1_ASM798962v1_genomic_03078","","","9e3420b4b005a41cf6998e0a1df74e45_2943"
"group_1133","","hypothetical protein","4","4","1","1","7710","203","3","","548","548","548","Bisbaumannia_00730","ac2c10d1bfd924169bd1a7f9d07d0dbc_2691","GCA_007989625.1_ASM798962v1_genomic_03080","","","9e3420b4b005a41cf6998e0a1df74e45_2945"
"group_1139","","hypothetical protein","4","4","1","1","5705","250","2","","1217","1217","1217","Bisbaumannia_00753","ac2c10d1bfd924169bd1a7f9d07d0dbc_3714","GCA_007989625.1_ASM798962v1_genomic_00701","","","9e3420b4b005a41cf6998e0a1df74e45_611"
"ubiK","","Ubiquinone biosynthesis accessory factor UbiK","4","4","1","1","5711","113","9","","338","338","338","Bisbaumannia_00758","ac2c10d1bfd924169bd1a7f9d07d0dbc_3719","GCA_007989625.1_ASM798962v1_genomic_00706","","","9e3420b4b005a41cf6998e0a1df74e45_616"
"group_1143","","hypothetical protein","4","4","1","1","5728","150","4","","911","914","913","Bisbaumannia_00768","ac2c10d1bfd924169bd1a7f9d07d0dbc_3729","GCA_007989625.1_ASM798962v1_genomic_00716","","","9e3420b4b005a41cf6998e0a1df74e45_626"
"teaA_2","","Ectoine-binding periplasmic protein TeaA","4","4","1","1","5736","155","4","","1022","1022","1022","Bisbaumannia_00775","ac2c10d1bfd924169bd1a7f9d07d0dbc_3736","GCA_007989625.1_ASM798962v1_genomic_00723","","","9e3420b4b005a41cf6998e0a1df74e45_633"
"cc4","","Cytochrome c4","4","4","1","1","5754","74","14","","614","614","614","Bisbaumannia_00788","ac2c10d1bfd924169bd1a7f9d07d0dbc_3749","GCA_007989625.1_ASM798962v1_genomic_00736","","","9e3420b4b005a41cf6998e0a1df74e45_645"
"group_1148","","Long-chain-fatty-acid--CoA ligase","4","4","1","1","5780","49","27","","1640","1640","1640","Bisbaumannia_00806","ac2c10d1bfd924169bd1a7f9d07d0dbc_3767","GCA_007989625.1_ASM798962v1_genomic_00754","A2_02859","",""
"dmdA_2","","Dimethylsulfonioproprionate demethylase DmdA","4","4","1","1","5785","49","22","","1178","1178","1178","Bisbaumannia_00811","ac2c10d1bfd924169bd1a7f9d07d0dbc_3772","GCA_007989625.1_ASM798962v1_genomic_00759","A2_02854","",""
"purU_2","","Formyltetrahydrofolate deformylase","4","4","1","1","5789","49","19","","875","875","875","Bisbaumannia_00814","ac2c10d1bfd924169bd1a7f9d07d0dbc_3775","GCA_007989625.1_ASM798962v1_genomic_00762","A2_02851","",""
"lolD_1","","Lipoprotein-releasing system ATP-binding protein LolD","4","4","1","1","9192","81","10","","656","698","666","Bisbaumannia_00875","ac2c10d1bfd924169bd1a7f9d07d0dbc_2244","GCA_007989625.1_ASM798962v1_genomic_02631","","","9e3420b4b005a41cf6998e0a1df74e45_1450"
"proC","","Pyrroline-5-carboxylate reductase","4","4","1","1","9077","154","4","","821","821","821","Bisbaumannia_00963","ac2c10d1bfd924169bd1a7f9d07d0dbc_875","GCA_007989625.1_ASM798962v1_genomic_02400","","","9e3420b4b005a41cf6998e0a1df74e45_2698"
"lspA","","Lipoprotein signal peptidase","4","4","1","1","9107","225","4","","497","545","509","Bisbaumannia_00987","ac2c10d1bfd924169bd1a7f9d07d0dbc_852","GCA_007989625.1_ASM798962v1_genomic_02377","","","9e3420b4b005a41cf6998e0a1df74e45_2674"
"group_1201","","hypothetical protein","4","4","1","1","5512","66","15","","1211","1211","1211","Bisbaumannia_01081","ac2c10d1bfd924169bd1a7f9d07d0dbc_946","GCA_007989625.1_ASM798962v1_genomic_02021","","","9e3420b4b005a41cf6998e0a1df74e45_489"
"group_1203","","hypothetical protein","4","4","1","1","5519","173","4","","560","560","560","Bisbaumannia_01093","ac2c10d1bfd924169bd1a7f9d07d0dbc_934","GCA_007989625.1_ASM798962v1_genomic_02009","","","9e3420b4b005a41cf6998e0a1df74e45_484"
"tsaT_2","","Outer membrane transporter protein TsaT","4","4","1","1","5520","173","3","","1070","1070","1070","Bisbaumannia_01094","ac2c10d1bfd924169bd1a7f9d07d0dbc_933","GCA_007989625.1_ASM798962v1_genomic_02008","","","9e3420b4b005a41cf6998e0a1df74e45_483"
"tsaT_1","","Outer membrane transporter protein TsaT","4","4","1","1","5522","173","1","","1049","1064","1059","Bisbaumannia_01095","ac2c10d1bfd924169bd1a7f9d07d0dbc_932","GCA_007989625.1_ASM798962v1_genomic_02007","","","9e3420b4b005a41cf6998e0a1df74e45_481"
"nagL","","Maleylpyruvate isomerase","4","4","1","1","6055","70","15","","644","644","644","Bisbaumannia_01101","ac2c10d1bfd924169bd1a7f9d07d0dbc_926","GCA_007989625.1_ASM798962v1_genomic_02001","","","9e3420b4b005a41cf6998e0a1df74e45_475"
"bcr_1","","Bicyclomycin resistance protein","4","4","1","1","6057","70","16","","1214","1361","1322","Bisbaumannia_01102","ac2c10d1bfd924169bd1a7f9d07d0dbc_925","GCA_007989625.1_ASM798962v1_genomic_02000","","","9e3420b4b005a41cf6998e0a1df74e45_474"
"cntI_1","","Pseudopaline exporter CntI","4","4","1","1","6052","70","12","","899","899","899","Bisbaumannia_01106","ac2c10d1bfd924169bd1a7f9d07d0dbc_921","GCA_007989625.1_ASM798962v1_genomic_01996","A2_01284","",""
"group_1212","","hypothetical protein","4","4","1","1","5404","24","27","","1307","1307","1307","Bisbaumannia_01119","ac2c10d1bfd924169bd1a7f9d07d0dbc_908","GCA_007989625.1_ASM798962v1_genomic_01982","","Halomonas_salifodinae_00061",""
"group_1213","","hypothetical protein","4","4","1","1","5403","24","4","","821","821","821","Bisbaumannia_01120","ac2c10d1bfd924169bd1a7f9d07d0dbc_907","GCA_007989625.1_ASM798962v1_genomic_01981","","","9e3420b4b005a41cf6998e0a1df74e45_459"
"group_1214","ramA_1","(R)-stereoselective amidase","4","4","1","1","5381","24","3","","812","812","812","Bisbaumannia_01121","ac2c10d1bfd924169bd1a7f9d07d0dbc_906","GCA_007989625.1_ASM798962v1_genomic_01980","","","9e3420b4b005a41cf6998e0a1df74e45_458"
"benM_2","","HTH-type transcriptional regulator BenM","4","4","1","1","1674","18","59","","902","902","902","Bisbaumannia_01147","ac2c10d1bfd924169bd1a7f9d07d0dbc_118","GCA_007989625.1_ASM798962v1_genomic_03243","","","9e3420b4b005a41cf6998e0a1df74e45_3438"
"catB","","Muconate cycloisomerase 1","4","4","1","1","5879","442","1","","1118","1118","1118","Bisbaumannia_01165","ac2c10d1bfd924169bd1a7f9d07d0dbc_68","GCA_007989625.1_ASM798962v1_genomic_01905","","","9e3420b4b005a41cf6998e0a1df74e45_3416"
"group_1221","","Multidrug transporter","4","4","1","1","5932","92","4","","329","329","329","Bisbaumannia_01172","ac2c10d1bfd924169bd1a7f9d07d0dbc_61","GCA_007989625.1_ASM798962v1_genomic_01912","","","9e3420b4b005a41cf6998e0a1df74e45_3409"
"trmB_2","","hypothetical protein","4","4","1","1","5933","92","3","","689","707","693","Bisbaumannia_01173","ac2c10d1bfd924169bd1a7f9d07d0dbc_60","GCA_007989625.1_ASM798962v1_genomic_01913","","","9e3420b4b005a41cf6998e0a1df74e45_3408"
"group_1225","","hypothetical protein","4","4","1","1","5853","62","1","","2132","2132","2132","Bisbaumannia_01184","ac2c10d1bfd924169bd1a7f9d07d0dbc_49","GCA_007989625.1_ASM798962v1_genomic_01924","","","9e3420b4b005a41cf6998e0a1df74e45_3397"
"group_1226","","hypothetical protein","4","4","1","1","5860","62","18","","1019","1025","1020","Bisbaumannia_01185","ac2c10d1bfd924169bd1a7f9d07d0dbc_48","GCA_007989625.1_ASM798962v1_genomic_01925","","","9e3420b4b005a41cf6998e0a1df74e45_3396"
"btuD_6","","hypothetical protein","4","4","1","1","5849","95","10","","1118","1163","1129","Bisbaumannia_01198","ac2c10d1bfd924169bd1a7f9d07d0dbc_35","GCA_007989625.1_ASM798962v1_genomic_01938","","","9e3420b4b005a41cf6998e0a1df74e45_3383"
"idiA","","Iron deficiency-induced protein A","4","4","1","1","5848","95","9","","1028","1028","1028","Bisbaumannia_01199","ac2c10d1bfd924169bd1a7f9d07d0dbc_34","GCA_007989625.1_ASM798962v1_genomic_01939","","","9e3420b4b005a41cf6998e0a1df74e45_3382"
"ectD","","Ectoine dioxygenase","4","4","1","1","5974","355","2","","935","935","935","Bisbaumannia_01210","ac2c10d1bfd924169bd1a7f9d07d0dbc_23","GCA_007989625.1_ASM798962v1_genomic_01950","","","9e3420b4b005a41cf6998e0a1df74e45_3372"
"group_1237","","hypothetical protein","4","4","1","1","5833","237","4","","452","452","452","Bisbaumannia_01229","ac2c10d1bfd924169bd1a7f9d07d0dbc_4","GCA_007989625.1_ASM798962v1_genomic_01969","","","9e3420b4b005a41cf6998e0a1df74e45_3352"
"davT_2","","5-aminovalerate aminotransferase DavT","4","4","1","1","2167","43","24","","1253","1253","1253","Bisbaumannia_01300","ac2c10d1bfd924169bd1a7f9d07d0dbc_1028","GCA_007989625.1_ASM798962v1_genomic_03405","A2_03058","",""
"group_1265","","hypothetical protein","4","4","1","1","661","14","53","","203","203","203","Bisbaumannia_01372","ac2c10d1bfd924169bd1a7f9d07d0dbc_2614","GCA_007989625.1_ASM798962v1_genomic_01838","","","9e3420b4b005a41cf6998e0a1df74e45_1726"
"yqjZ","","putative protein YqjZ","4","4","1","1","665","14","49","","311","311","311","Bisbaumannia_01373","ac2c10d1bfd924169bd1a7f9d07d0dbc_2615","GCA_007989625.1_ASM798962v1_genomic_01837","","","9e3420b4b005a41cf6998e0a1df74e45_1725"
"bluB","","5,6-dimethylbenzimidazole synthase","4","4","1","1","670","14","42","","716","716","716","Bisbaumannia_01378","ac2c10d1bfd924169bd1a7f9d07d0dbc_2620","GCA_007989625.1_ASM798962v1_genomic_01832","","","9e3420b4b005a41cf6998e0a1df74e45_1720"
"group_1269","","hypothetical protein","4","4","1","1","671","14","40","","1253","1253","1253","Bisbaumannia_01379","ac2c10d1bfd924169bd1a7f9d07d0dbc_2621","GCA_007989625.1_ASM798962v1_genomic_01831","","","9e3420b4b005a41cf6998e0a1df74e45_1719"
"glnT","","Glutamine synthetase","4","4","1","1","1874","20","45","","1442","1442","1442","Bisbaumannia_01403","ac2c10d1bfd924169bd1a7f9d07d0dbc_2647","GCA_007989625.1_ASM798962v1_genomic_01809","","","9e3420b4b005a41cf6998e0a1df74e45_1697"
"cinC","","Cindoxin","4","4","1","1","1877","20","43","","485","485","485","Bisbaumannia_01405","ac2c10d1bfd924169bd1a7f9d07d0dbc_2649","GCA_007989625.1_ASM798962v1_genomic_01807","","","9e3420b4b005a41cf6998e0a1df74e45_1695"
"group_1280","","Cytochrome P450 CYP107DY1","4","4","1","1","1879","20","41","","1220","1220","1220","Bisbaumannia_01407","ac2c10d1bfd924169bd1a7f9d07d0dbc_2651","GCA_007989625.1_ASM798962v1_genomic_01805","","","9e3420b4b005a41cf6998e0a1df74e45_1693"
"group_1285","","hypothetical protein","4","4","1","1","1895","104","16","","1115","1121","1117","Bisbaumannia_01420","ac2c10d1bfd924169bd1a7f9d07d0dbc_2668","GCA_007989625.1_ASM798962v1_genomic_01792","","","9e3420b4b005a41cf6998e0a1df74e45_1680"
"group_1289","","Glycine betaine transporter 2","4","4","1","1","480","504","1","","1433","1571","1536","Bisbaumannia_01442","ac2c10d1bfd924169bd1a7f9d07d0dbc_2690","GCA_007989625.1_ASM798962v1_genomic_01770","","","9e3420b4b005a41cf6998e0a1df74e45_1658"
"IMPDH","","hypothetical protein","4","4","1","1","8104","53","20","","680","680","680","Bisbaumannia_01445","ac2c10d1bfd924169bd1a7f9d07d0dbc_531","GCA_007989625.1_ASM798962v1_genomic_02865","","","9e3420b4b005a41cf6998e0a1df74e45_3585"
"group_1292","","hypothetical protein","4","4","1","1","8110","255","3","","815","815","815","Bisbaumannia_01452","ac2c10d1bfd924169bd1a7f9d07d0dbc_524","GCA_007989625.1_ASM798962v1_genomic_02872","","","9e3420b4b005a41cf6998e0a1df74e45_3592"
"group_1300","","hypothetical protein","4","4","1","1","8192","78","17","","941","941","941","Bisbaumannia_01482","ac2c10d1bfd924169bd1a7f9d07d0dbc_493","GCA_007989625.1_ASM798962v1_genomic_01398","","","9e3420b4b005a41cf6998e0a1df74e45_3628"
"group_1313","","hypothetical protein","4","4","1","1","8374","86","5","","416","416","416","Bisbaumannia_01562","ac2c10d1bfd924169bd1a7f9d07d0dbc_415","GCA_007989625.1_ASM798962v1_genomic_00539","","","9e3420b4b005a41cf6998e0a1df74e45_3343"
"nhaD","","Na(+)/H(+) antiporter NhaD","4","4","1","1","842","80","10","","1466","1466","1466","Bisbaumannia_01628","ac2c10d1bfd924169bd1a7f9d07d0dbc_349","GCA_007989625.1_ASM798962v1_genomic_00474","","","9e3420b4b005a41cf6998e0a1df74e45_1126"
"group_1328","","hypothetical protein","4","4","1","1","870","30","45","","1403","1403","1403","Bisbaumannia_01633","ac2c10d1bfd924169bd1a7f9d07d0dbc_344","GCA_007989625.1_ASM798962v1_genomic_00469","","","9e3420b4b005a41cf6998e0a1df74e45_1110"
"group_1332","","hypothetical protein","4","4","1","1","1375","460","1","","407","407","407","Bisbaumannia_01644","ac2c10d1bfd924169bd1a7f9d07d0dbc_333","GCA_007989625.1_ASM798962v1_genomic_00458","","","9e3420b4b005a41cf6998e0a1df74e45_1099"
"tgpA","","Protein-glutamine gamma-glutamyltransferase","4","4","1","1","1378","579","1","","2063","2063","2063","Bisbaumannia_01646","ac2c10d1bfd924169bd1a7f9d07d0dbc_331","GCA_007989625.1_ASM798962v1_genomic_00456","","","9e3420b4b005a41cf6998e0a1df74e45_1097"
"secF","","Protein translocase subunit SecF","4","4","1","1","1420","218","2","","923","923","923","Bisbaumannia_01662","ac2c10d1bfd924169bd1a7f9d07d0dbc_316","GCA_007989625.1_ASM798962v1_genomic_00440","","","9e3420b4b005a41cf6998e0a1df74e45_1061"
"group_1344","","hypothetical protein","4","4","1","1","1361","27","19","","863","869","866","Bisbaumannia_01678","","GCA_007989625.1_ASM798962v1_genomic_00956","A2_02076","Halomonas_salifodinae_00514",""
"group_1345","","hypothetical protein","4","4","1","1","1444","27","15","","257","257","257","Bisbaumannia_01680","ac2c10d1bfd924169bd1a7f9d07d0dbc_298","GCA_007989625.1_ASM798962v1_genomic_00958","","","9e3420b4b005a41cf6998e0a1df74e45_1042"
"group_1347","","hypothetical protein","4","4","1","1","1474","466","1","","1100","1100","1100","Bisbaumannia_01705","ac2c10d1bfd924169bd1a7f9d07d0dbc_273","GCA_007989625.1_ASM798962v1_genomic_00983","","","9e3420b4b005a41cf6998e0a1df74e45_1019"
"group_1355","","hypothetical protein","4","4","1","1","1515","54","17","","116","116","116","Bisbaumannia_01735","ac2c10d1bfd924169bd1a7f9d07d0dbc_243","GCA_007989625.1_ASM798962v1_genomic_01013","","Halomonas_salifodinae_00461",""
"mexB","","Multidrug resistance protein MexB","4","4","1","1","1529","54","10","","3104","3113","3106","Bisbaumannia_01741","ac2c10d1bfd924169bd1a7f9d07d0dbc_237","GCA_007989625.1_ASM798962v1_genomic_01019","","","9e3420b4b005a41cf6998e0a1df74e45_983"
"group_1360","","hypothetical protein","4","4","1","1","1536","108","7","","344","347","344","Bisbaumannia_01745","ac2c10d1bfd924169bd1a7f9d07d0dbc_233","GCA_007989625.1_ASM798962v1_genomic_01023","","Halomonas_salifodinae_00456",""
"group_1361","","hypothetical protein","4","4","1","1","1548","108","11","","1640","1640","1640","Bisbaumannia_01748","ac2c10d1bfd924169bd1a7f9d07d0dbc_230","GCA_007989625.1_ASM798962v1_genomic_01026","","","9e3420b4b005a41cf6998e0a1df74e45_976"
"uehB","","Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB","4","4","1","1","1552","7","54","","479","479","479","Bisbaumannia_01752","ac2c10d1bfd924169bd1a7f9d07d0dbc_226","GCA_007989625.1_ASM798962v1_genomic_01030","","","9e3420b4b005a41cf6998e0a1df74e45_972"
"group_1365","","Solute-binding protein","4","4","1","1","1553","7","55","","1010","1010","1010","Bisbaumannia_01753","ac2c10d1bfd924169bd1a7f9d07d0dbc_225","GCA_007989625.1_ASM798962v1_genomic_01031","","","9e3420b4b005a41cf6998e0a1df74e45_971"
"phnX","","Phosphonoacetaldehyde hydrolase","4","4","1","1","1560","7","57","","818","818","818","Bisbaumannia_01759","ac2c10d1bfd924169bd1a7f9d07d0dbc_219","GCA_007989625.1_ASM798962v1_genomic_01037","","","9e3420b4b005a41cf6998e0a1df74e45_969"
"group_1368","","hypothetical protein","4","4","1","1","1587","7","59","","1694","1694","1694","Bisbaumannia_01761","ac2c10d1bfd924169bd1a7f9d07d0dbc_217","GCA_007989625.1_ASM798962v1_genomic_01039","","","9e3420b4b005a41cf6998e0a1df74e45_967"
"cysA_1","","Sulfate/thiosulfate import ATP-binding protein CysA","4","4","1","1","1588","7","60","","1130","1130","1130","Bisbaumannia_01762","ac2c10d1bfd924169bd1a7f9d07d0dbc_216","GCA_007989625.1_ASM798962v1_genomic_01040","","","9e3420b4b005a41cf6998e0a1df74e45_966"
"group_1370","","putative protein","4","4","1","1","1589","7","61","","1031","1031","1031","Bisbaumannia_01763","ac2c10d1bfd924169bd1a7f9d07d0dbc_215","GCA_007989625.1_ASM798962v1_genomic_01041","","","9e3420b4b005a41cf6998e0a1df74e45_965"
"phnR","","Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons","4","4","1","1","1590","7","62","","713","713","713","Bisbaumannia_01764","ac2c10d1bfd924169bd1a7f9d07d0dbc_214","GCA_007989625.1_ASM798962v1_genomic_01042","","","9e3420b4b005a41cf6998e0a1df74e45_964"
